Molecule ChEMBL ID,Activity Type,Value,Units,Target ChEMBL ID,Gene Symbol,Gene Description,SMILES
CHEMBL141881,IC50,15.0,nM,CHEMBL4549,APOE,Apolipoprotein E,COc1cccc(C(=O)Nc2ccc3c(c2)CC(NS(C)(=O)=O)C3)c1-c1ccc(Cl)cc1
CHEMBL142928,IC50,1.8,nM,CHEMBL4549,APOE,Apolipoprotein E,COC(=O)N[C@H]1Cc2ccc(NC(=O)c3cccc(C(F)(F)F)c3-c3ccc(C(F)(F)F)cc3)cc2C1
CHEMBL142975,IC50,1.6,nM,CHEMBL4549,APOE,Apolipoprotein E,COC(=O)NC1CCc2ccc(NC(=O)c3cccc(C)c3-c3ccc(C(F)(F)F)cc3)cc2CC1
CHEMBL143821,IC50,8.3,nM,CHEMBL4549,APOE,Apolipoprotein E,Cc1cccc(C(=O)Nc2ccc3c(c2)CC(NS(C)(=O)=O)C3)c1-c1ccc(F)cc1
CHEMBL358768,IC50,43.0,nM,CHEMBL4549,APOE,Apolipoprotein E,COC(=O)N1CCN([C@@H]2Cc3ccc(NC(=O)c4cccc(C)c4-c4ccc(C(F)(F)F)cc4)cc3C2)CC1
CHEMBL140786,IC50,60.0,nM,CHEMBL4549,APOE,Apolipoprotein E,CS(=O)(=O)NC1Cc2ccc(NC(=O)c3ccccc3-c3ccc(C(F)(F)F)cc3)cc2C1
CHEMBL139834,IC50,1.0,nM,CHEMBL4549,APOE,Apolipoprotein E,Cc1cc(C)c(-c2ccc(C(F)(F)F)cc2)c(C(=O)Nc2ccc3c(c2)C[C@H](NS(=O)(=O)c2cccs2)C3)c1
CHEMBL356091,IC50,1.4,nM,CHEMBL4549,APOE,Apolipoprotein E,Cc1cccc(C(=O)Nc2ccc3c(c2)CC(NS(=O)(=O)c2cccs2)C3)c1-c1ccc(F)cc1
CHEMBL343406,IC50,2.0,nM,CHEMBL4549,APOE,Apolipoprotein E,COc1cccc(C(=O)Nc2ccc3c(c2)CC(NS(=O)(=O)c2ccccc2)C3)c1-c1ccc(Cl)cc1
CHEMBL142450,IC50,0.7,nM,CHEMBL4549,APOE,Apolipoprotein E,COC(=O)N[C@H]1Cc2ccc(NC(=O)c3cccc(C)c3-c3ccc(C(F)(F)F)cc3)cc2C1
CHEMBL143284,IC50,1.1,nM,CHEMBL4549,APOE,Apolipoprotein E,COC(=O)N[C@H]1Cc2ccc(NC(=O)c3cc(C)cc(C)c3-c3ccc(C(F)(F)F)cc3)cc2C1
CHEMBL142519,IC50,340.0,nM,CHEMBL4549,APOE,Apolipoprotein E,O=C(Nc1ccc2c(c1)CC(NCc1ccccc1)C2)c1ccccc1-c1ccc(C(F)(F)F)cc1
CHEMBL392068,EC50,0.114,nM,CHEMBL2473,PSEN1,Presenilin 1,C[C@H](NC(=O)[C@@H](O)c1cc(F)cc(F)c1)C(=O)N[C@@H]1C(=O)N(C)c2ccccc2-c2ccccc21
CHEMBL392068,EC50,0.135,nM,CHEMBL2473,PSEN1,Presenilin 1,C[C@H](NC(=O)[C@@H](O)c1cc(F)cc(F)c1)C(=O)N[C@@H]1C(=O)N(C)c2ccccc2-c2ccccc21
CHEMBL2159511,IC50,46.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12
CHEMBL2159511,IC50,4.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12
CHEMBL2159510,IC50,5.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CCS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12
CHEMBL2159509,IC50,8.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CC(C)S(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12
CHEMBL2159509,IC50,26.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CC(C)S(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12
CHEMBL2159691,IC50,37.0,nM,CHEMBL2473,PSEN1,Presenilin 1,N#CCC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12
CHEMBL2159690,IC50,48.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CCNC(=O)OCC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12
CHEMBL2159689,IC50,8.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CNC(=O)OCC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12
CHEMBL2159687,IC50,18.0,nM,CHEMBL2473,PSEN1,Presenilin 1,O=S(=O)(c1ccc(Cl)cc1)[C@@]12CCO[C@@H](CCO)[C@@H]1COc1c(F)ccc(F)c12
CHEMBL2159686,IC50,377.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CS(=O)(=O)CC[C@H]1OCC[C@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@H]12
CHEMBL2159511,IC50,1.3,nM,CHEMBL2473,PSEN1,Presenilin 1,CS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12
CHEMBL2159510,IC50,3.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CCS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12
CHEMBL2159509,IC50,6.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CC(C)S(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12
CHEMBL2159509,IC50,24.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CC(C)S(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12
CHEMBL2159691,IC50,22.0,nM,CHEMBL2473,PSEN1,Presenilin 1,N#CCC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12
CHEMBL2159690,IC50,24.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CCNC(=O)OCC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12
CHEMBL2159689,IC50,8.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CNC(=O)OCC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12
CHEMBL2159688,IC50,320.0,nM,CHEMBL2473,PSEN1,Presenilin 1,O=S(=O)(c1ccc(Cl)cc1)[C@]12CCO[C@H](CCO)[C@H]1COc1c(F)ccc(F)c12
CHEMBL2159687,IC50,20.0,nM,CHEMBL2473,PSEN1,Presenilin 1,O=S(=O)(c1ccc(Cl)cc1)[C@@]12CCO[C@@H](CCO)[C@@H]1COc1c(F)ccc(F)c12
CHEMBL2398571,IC50,4000.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CC(C)=CCC/C(C)=C/CC/C(C)=C/Cn1c2ccc(Cl)cc2c2ccc(C(C)C(=O)O)cc21
CHEMBL2398571,EC50,2000.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CC(C)=CCC/C(C)=C/CC/C(C)=C/Cn1c2ccc(Cl)cc2c2ccc(C(C)C(=O)O)cc21
CHEMBL2398570,EC50,1000.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CC(C)=CCC/C(C)=C/CC/C(C)=C/COC(=O)C1(C)CCc2c(C)c(OCC(=O)O)c(C)c(C)c2O1
CHEMBL2398573,EC50,6000.0,nM,CHEMBL2473,PSEN1,Presenilin 1,Cc1c(C)c2c(c(C)c1OCC(=O)O)CCC(C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2
CHEMBL2398574,EC50,4000.0,nM,CHEMBL2473,PSEN1,Presenilin 1,Cc1c(C)c2c(c(C)c1OCC(=O)O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2
CHEMBL2398577,EC50,9000.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CCCCCCCCCCCCCCOc1c(C)c(C)c2c(c1C)CCC(C)(C(=O)O)O2
CHEMBL2398578,EC50,8000.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CC(C)=CCC/C(C)=C/CC/C(C)=C/COc1c(C)c(C)c2c(c1C)CCC(C)(C(=O)O)O2
CHEMBL2398567,EC50,5000.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CCCCCCCCCCCOC(=O)C1(C)CCc2c(C)c(OCC(=O)O)c(C)c(C)c2O1
CHEMBL2398568,EC50,6000.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CCCCCCCCCCCCCCOC(=O)C1(C)CCc2c(C)c(OCC(=O)O)c(C)c(C)c2O1
CHEMBL3397716,EC50,3200.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CCCC/C(=C\c1cc(OCc2ccc(Cl)c(Cl)c2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O
CHEMBL3397714,EC50,1800.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CCCC/C(=C\c1cc(OCc2ccc(OCc3ccccc3)cc2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O
CHEMBL3397713,EC50,3200.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CCCC/C(=C\c1cc(OCc2ccc(-c3ccccc3)cc2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O
CHEMBL3397712,EC50,4400.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CCCC/C(=C\c1cc(OCc2ccc(CCCC)cc2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O
CHEMBL3397711,EC50,2500.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CCCC/C(=C\c1cc(OC/C=C/c2ccccc2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O
CHEMBL1819479,EC50,1100.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CCCC/C(=C\c1cc(OCc2ccc(C(F)(F)F)cc2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O
CHEMBL1171834,EC50,4600.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CCCCC(Sc1nc(OCCC2CCCCC2)cc(OCCC2CCCCC2)n1)C(=O)O
CHEMBL3397728,IC50,1500.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CCCC/C(=C\c1cc(OCCc2ccc(C(F)(F)F)cc2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O
CHEMBL3397727,IC50,1000.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CCCC/C(=C\c1cc(OCC2CCC(C(F)(F)F)CC2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O
CHEMBL3397724,IC50,2200.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CCCC/C(=C\c1cc(OCc2ccc(OCCN3CCOCC3)cc2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O
CHEMBL3397723,IC50,5000.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CCCC/C(=C\c1cc(OCc2ccc(Oc3ccccn3)cc2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O
CHEMBL3397721,IC50,630.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CCCC/C(=C\c1cc(OCc2ccc3nc(C(F)(F)F)cc(OC)c3c2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O
CHEMBL3397720,IC50,2300.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CCCC/C(=C\c1cc(OCc2csc(-c3ccc(C(F)(F)F)cc3)n2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O
CHEMBL3397719,IC50,4600.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CCCC/C(=C\c1cc(OCc2cc3ccccc3s2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O
CHEMBL3397717,IC50,790.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CCCC/C(=C\c1cc(OCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O
CHEMBL3397716,IC50,2000.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CCCC/C(=C\c1cc(OCc2ccc(Cl)c(Cl)c2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O
CHEMBL3397715,IC50,7000.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CCCC/C(=C\c1cc(OCc2ccc(F)cc2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O
CHEMBL3397714,IC50,8500.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CCCC/C(=C\c1cc(OCc2ccc(OCc3ccccc3)cc2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O
CHEMBL3397712,IC50,4900.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CCCC/C(=C\c1cc(OCc2ccc(CCCC)cc2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O
CHEMBL3397711,IC50,4100.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CCCC/C(=C\c1cc(OC/C=C/c2ccccc2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O
CHEMBL1819479,IC50,1200.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CCCC/C(=C\c1cc(OCc2ccc(C(F)(F)F)cc2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O
CHEMBL1171834,IC50,5100.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CCCCC(Sc1nc(OCCC2CCCCC2)cc(OCCC2CCCCC2)n1)C(=O)O
CHEMBL3397717,EC50,1000.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CCCC/C(=C\c1cc(OCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O
CHEMBL3397719,EC50,2100.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CCCC/C(=C\c1cc(OCc2cc3ccccc3s2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O
CHEMBL3397721,EC50,1170.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CCCC/C(=C\c1cc(OCc2ccc3nc(C(F)(F)F)cc(OC)c3c2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O
CHEMBL3397722,EC50,2200.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CCCC/C(=C\c1cc(OCc2ccc(-c3csc(C)n3)cc2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O
CHEMBL3397723,EC50,4500.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CCCC/C(=C\c1cc(OCc2ccc(Oc3ccccn3)cc2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O
CHEMBL3397724,EC50,970.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CCCC/C(=C\c1cc(OCc2ccc(OCCN3CCOCC3)cc2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O
CHEMBL3397727,EC50,1100.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CCCC/C(=C\c1cc(OCC2CCC(C(F)(F)F)CC2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O
CHEMBL3397728,EC50,1300.0,nM,CHEMBL2473,PSEN1,Presenilin 1,CCCC/C(=C\c1cc(OCCc2ccc(C(F)(F)F)cc2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O
CHEMBL3975978,IC50,211.0,nM,CHEMBL2473,PSEN1,Presenilin 1,Cc1cn(-c2ccc3n(c2=O)CCN([C@@H]2CC[C@H]2Oc2ccccc2C(F)(F)F)C3=O)cn1
CHEMBL3899746,IC50,300.0,nM,CHEMBL2473,PSEN1,Presenilin 1,Cc1cn(-c2ccc3n(c2=O)CCN([C@@H]2CCC[C@H]2Oc2ccccc2C(F)(F)F)C3=O)cn1
CHEMBL3896372,IC50,60.6,nM,CHEMBL2473,PSEN1,Presenilin 1,Cc1cn(-c2ccc3n(c2=O)CCN([C@@H]2CC[C@H]2Oc2cccc4cc(F)c(F)cc24)C3=O)cn1
CHEMBL3918962,IC50,483.0,nM,CHEMBL2473,PSEN1,Presenilin 1,Cc1cn(-c2ccc3n(c2=O)CCN(CC2CC(c4ccc(Cl)c(C(F)(F)F)c4)=NO2)C3=O)cn1
CHEMBL3890892,IC50,140.0,nM,CHEMBL2473,PSEN1,Presenilin 1,Cc1cn(-c2ccc3n(c2=O)CCN([C@@H]2CCC[C@@H]2Oc2ccc(F)cc2C(F)(F)F)C3=O)cn1
CHEMBL3906428,IC50,25.0,nM,CHEMBL2473,PSEN1,Presenilin 1,Cc1cn(-c2ccc3n(c2=O)CCN(C[C@H]2O[C@@H](c4ccc(C(F)(F)F)cc4)C[C@@H]2C)C3=O)cn1
CHEMBL3980167,IC50,73.5,nM,CHEMBL2473,PSEN1,Presenilin 1,Cc1cn(-c2ccc3n(c2=O)CCN(C[C@@H]2C[C@@H](F)[C@H](c4ccc(C(F)(F)F)cc4)O2)C3=O)cn1
CHEMBL3955146,IC50,14.3,nM,CHEMBL2473,PSEN1,Presenilin 1,Cc1cn(-c2ccc3n(c2=O)CCN([C@@H](C)[C@@H]2CC[C@H](c4ccc(C(F)(F)F)cc4)O2)C3=O)cn1
CHEMBL3980608,IC50,9.1,nM,CHEMBL2473,PSEN1,Presenilin 1,Cc1cn(-c2ccc3n(c2=O)CCN([C@@H](C)[C@@H]2CC[C@H](c4ccc(Cl)cc4C(F)(F)F)O2)C3=O)cn1
CHEMBL3942982,IC50,3.34,nM,CHEMBL2473,PSEN1,Presenilin 1,Cc1cn(-c2ccc3n(c2=O)CCN([C@@H](C)[C@@H]2CC[C@H](c4cc(F)c(C(F)(F)F)c(F)c4)O2)C3=O)cn1
CHEMBL3972571,IC50,40.5,nM,CHEMBL2473,PSEN1,Presenilin 1,Cc1cn(-c2ccc3n(c2=O)CCN(C[C@@H]2CC[C@](C)(c4ccc(C(F)(F)F)cc4)O2)C3=O)cn1
CHEMBL3934015,IC50,725.0,nM,CHEMBL2473,PSEN1,Presenilin 1,Cc1cn(-c2ccc3n(c2=O)CCN(C[C@H]2CC[C@@](C)(c4ccc(C(F)(F)F)cc4)O2)C3=O)cn1
CHEMBL3967275,IC50,236.0,nM,CHEMBL2473,PSEN1,Presenilin 1,Cc1cn(-c2ccc3n(c2=O)CCN(CC2(C)CCC(c4ccc(C(F)(F)F)cc4)O2)C3=O)cn1
CHEMBL3967275,IC50,1040.0,nM,CHEMBL2473,PSEN1,Presenilin 1,Cc1cn(-c2ccc3n(c2=O)CCN(CC2(C)CCC(c4ccc(C(F)(F)F)cc4)O2)C3=O)cn1
CHEMBL3902117,IC50,29.9,nM,CHEMBL2473,PSEN1,Presenilin 1,Cc1cn(-c2ccc3n(c2=O)CCN(C[C@H]2CCC[C@H](c4ccc(C(F)(F)F)cc4)O2)C3=O)cn1
